X,Y,GID,MHN,IDENTIFICA,RESOLUCION,DIRECCION,AUTORIA,FECHA,DECRETO
-56.2008318,-34.8504587,66440912,B.I.D,Agathis robusta 'Dammara' (alineacion 8 ejemplares),Decreto Departamental Nº26728,"Camino Castro esq. María Orticochea, ex-quinta de Carlos de Castro",,,
-56.1995892,-34.8508892,66440913,B.I.D,Araucaria bidwillii,Decreto Departamental Nº26728,"Camino Castro esq. María Orticochea, ex-quinta de Carlos de Castro",,,
-56.2000384,-34.8502237,66440914,B.I.D,Araucaria cunninghamii,Decreto Departamental Nº26728,"Camino Castro esq. María Orticochea, ex-quinta de Carlos de Castro",,,
-56.2001631,-34.8508299,66440915,B.I.D,Cinnamomum camphora 'Alcanfor',Decreto Departamental Nº26728,"Camino Castro esq. María Orticochea, ex-quinta de Carlos de Castro",,,
-56.2052848,-34.8213747,66440916,B.I.D,Ceibo - Erythrina crista-galli,Decreto Departamental Nº30284,Camino Casavalle 4886,,,
-56.23522,-34.826384,66440917,B.I.D,Encina Pedunculata 'Quercus ilex',Decreto Departamental Nº29310,Av. Millán 5594,,,
-56.2351187,-34.8264663,66440918,B.I.D,Encina Pedunculata 'Quercus ilex',Decreto Departamental Nº29310,Av. Millán 5594,,,
-56.1483833,-34.8963583,66440919,B.I.D,Roble 'Quercus robur',Decreto Departamental Nº28789,Plaza Guernica,,,
-56.1775991,-34.9134978,66440920,B.I.D,Palmera 'X Butyagrus nabonnandii',Decreto Departamental Nº35813,"Magallanes, La Cumparsita, Dr. Abadie Santos y Gaboto",,,
-56.0812236,-34.8993107,66440921,M.H.N,Monumento a los Caídos de la Armada en acto de servicio,2100/975,Rambla República de México 5535 - Plaza de la Armada Nacional,,,
-56.2081453,-34.9076899,66440922,M.H.N,Monumento al Mariscal Bruno Mauricio de Zabala,1280/975,Circunvalación Durango - Plaza Zabala,,,
-56.2336572,-34.8023916,66440923,,Portones de antigua Granja de Giot,Resolución MEC del 28 de mayo de 2014,Av. Lezica y Caacupé. Frente a padrón 46193,,,
-56.2085665,-34.8226038,66440924,B.I.D,'El Trompo',Decreto Departamental Nº31546,Bv. Aparicio Saravia y Newton. Frente a padrón 48112,,,
-56.1247236,-34.8417534,66440925,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Camino Maldonado y Libia. Frente a padrón 137711,,,
-56.2721799,-34.8362095,66440926,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Av. Luis Batlle Berres y Camino Tomkinson. Frente a padrón 419168,,,
-56.152385,-34.8010551,66440927,M.H.N,Monumento 'La Batalla de Sarandí',1170/976,Cno. Al Paso del Andaluz casi Instrucciones - Brigada de Caballería Nº3,,,
-56.203543,-34.9065621,66440928,M.H.N,Fuente de Mármol de la Plaza de la Constitución,1097/975,Ituzaingó; Rincón; Sarandí y Juan Carlos Gómez - Plaza de la Constitución,,,
-56.1787454,-34.8842459,66440929,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Inca y Arenal Grande (Plazuela Roberto Fugazot),,,
-56.2130318,-34.9106249,66440930,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Rambla Pte. Wilson y Bvar. Gral. Artigas,,,
-56.2033142,-34.8723508,66440931,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Bvar. Gral. Artigas y Maturana (Plazuela República de Cuba),,,
-56.1116614,-34.8802019,66440932,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Hipólito Irigoyen 2069 -2057-2061-2065,,,
-56.1615453,-34.9286691,66440933,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Ing. Monteverde y Sarandí (Plaza Guruyú),,,
-56.1660025,-34.9145803,66440934,B.I.D,Kiosco Terminal de Ómnibus,Decreto Departamental Nº35639,Av. J. G. Requena García y Av. Julio Herrera y Reissig - Parque Rodó,,,
-56.1408799,-34.9019689,66440935,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Av. Gral. Rivera y Julio César,,,
-56.1198366,-34.8980304,66440936,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Rambla República de Chile y Av. Mariscal Francisco Solano López,,,
-56.1015392,-34.8242664,66440937,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Camino Maldonado y Aries,,,
-56.1422246,-34.9095813,66440938,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Rambla República del Perú y Buxareo (Plaza Winston Churchill),,,
-56.1409134,-34.8290911,66440939,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Av. José Belloni y Av. Gral. Flores,,,
-56.1919167,-34.9128771,66440940,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Rambla república Argentina y Paraguay,,,
-56.1301629,-34.8929898,66440941,B.I.D,Kiosco Policial,Decreto Departamental Nº35639,Bvar. José Batlle y Ordóñez y Av. Ramón Anador,,,
-56.2064245358763,-34.8486961114237,67784218,B.I.D,Ficus microcarpa 'Higuera de la China' 'Laurel de Indias',Decreto Departamental Nº37392,Domingo Torres 4295,,,
-56.1510083315738,-34.9170303742613,93680580,B.I.D,Araucaria Heterophylla,Decreto Departamental Nº 38.556,Jaime Zudáñez 2860,,,
-56.2784999994912,-34.844055560217,166668823,B.I.D,Platanus acerifolia 'Plátano Avenida',Decreto Departamental Nº26728,"Calle Los Platanos, entre Costanera Parque Tomkinson y Cno Tomkinson",,,
-56.2061666702454,-34.8589722200714,166668824,B.I.D,Sequoiadendron giganteum,Decreto Departamental Nº26728,"Parque del Prado, zona sur sobre Av. Buschental (Rosaleda espacio libre Juana de Ibarbourou)",,,
-56.2054166698629,-34.8619166702938,166668825,B.I.D,Araucaria angustifolia 'Pino de Brasil',Decreto Departamental Nº26728,"Parque del Prado, zona sur sobre Av. Buschental (Rosaleda espacio libre Juana de Ibarbourou)",,,
-56.2022222194872,-34.8586111097723,166668826,B.I.D,Ulmus galbra,Decreto Departamental Nº26728,19 de abril 1071 (Jardín Botánico),,,
-56.1963888895211,-34.8611388903383,166668827,B.I.D,Araucaria heterophylla,Decreto Departamental Nº26728,Av. Suarez y 19 de Abril,,,
-56.1516282316161,-34.8939298050699,169051255,B.I.D,Torre de los Homenajes del Estadio Centenario,Decreto Departamental Nº26864,Av. Dr. Americo Ricaldoni 1831 Héctor Scarone 2926 Av. Federico R. Vidiella 17,false,,
