X,Y,GID,MHN,IDENTIFICA,RESOLUCION,DIRECCION,AUTORIA,FECHA,DECRETO
-56.1910361,-34.8504138,66440794,B.I.D,Stypholobiun japonicun var. pendula 'Sopora pendula',Decreto Departamental Nº26728,"Pedro Trápani 1197, Sanatorio Schiaffino (ex Quinta Piñeyrúa)",,,
-56.2039388,-34.8633333,66440795,B.I.D,Phoenix paludosa,Decreto Departamental N°26728,"Lucas Obes 997, Practicas de la escuela de Jardinería (ex Quinta de Beherens)",,,
-56.2031055,-34.8635722,66440796,B.I.D,Araucaria heterophylla,Decreto Departamental N°26728,"Lucas Obes 1021, Casa de la cultura",,,
-56.2203555,-34.8367666,66440797,B.I.D,Sequoiadendron giganteum,Decreto Departamental Nº26728,"Av. Garzón 780, Facultad de Agronomía",,,
-56.2196555,-34.8368888,66440798,B.I.D,Araucaria angustofolia 'Pino de Brasil' (avenida 36 ejemplares),Decreto Departamental Nº26728,"Av. Garzón 780, Facultad de Agronomía",,,
-56.1492,-34.8902444,66440799,B.I.D,Araucaria angustifolia 'Pino de Brasil',Decreto Departamental Nº26728,Juan Spikerman 2085,,,
-56.2067722,-34.8549558,66440800,B.I.D,Ficus macrophylla,Decreto Departamental Nº26728,"Zona norte del Parque Prado, circunvalación Gabriela Mistral",,,
-56.2073805,-34.8542305,66440801,B.I.D,Podocarpus sp,Decreto Departamental Nº26728,"Zona norte del Parque Prado, circunvalación Gabriela Mistral",,,
-56.2072194,-34.8543861,66440802,B.I.D,Ficus retusa,Decreto Departamental Nº26728,"Zona norte del Parque Prado, circunvalación Gabriela Mistral",,,
-56.2068416,-34.8559694,66440803,B.I.D,Cupressus torulosa,Decreto Departamental Nº26728,"Zona norte del Parque Prado, Av. Gabriela Mistral",,,
-56.206875,-34.8555388,66440804,B.I.D,Eucalyptus globulus,Decreto Departamental Nº26728,"Zona norte del Parque Prado, Av. Gabriela Mistral",,,
-56.2068111,-34.8555888,66440805,B.I.D,Plátanus acerifolia,Decreto Departamental Nº26728,"Zona norte del Parque Prado, Av. Gabriela Mistral",,,
-56.2067861,-34.8552833,66440806,B.I.D,Platanus acerifolia (rodal 30 ejemplares),Decreto Departamental Nº26728,"Zona norte del Parque Prado, Av. Gabriela Mistral",,,
-56.2072972,-34.8558083,66440807,B.I.D,Araucaria bidwillii (Bunya-bunya),Decreto Departamental Nº26728,"Zona norte del Parque Prado, Av. Gabriela Mistral",,,
-56.2051888,-34.8561444,66440808,B.I.D,Ceiba crispiflora,Decreto Departamental Nº26728,"Zona norte del Parque Prado, muy próximo a pista skate",,,
-56.2053694,-34.8564333,66440809,B.I.D,Ceiba crispiflora,Decreto Departamental Nº26728,"Zona norte del Parque Prado, próximo a pista skate",,,
-56.2072111,-34.8561666,66440810,B.I.D,Araucaria angustifolia 'Pino de Brasil' (avenida 29 ejemplares),Decreto Departamental Nº26728,"Zona norte del Parque Prado, circunvalación Gabriela Mistral",,,
-56.1635113,-34.9120935,66440811,B.I.D,Cedrus Deodara (1 ejemplar de 7 ejemplares),Decreto Departamental Nº36063,"Barrio Jardín del Parque Rodó, Bv. Artigas 917",,,
-56.1636279,-34.9123885,66440812,B.I.D,Cedrus Deodara (1 ejemplar de 7 ejemplares),Decreto Departamental Nº36063,"Barrio Jardín del Parque Rodó, 21 de Setiembre 2385",,,
-56.1633083,-34.9125646,66440813,B.I.D,Cedrus Deodara (1 ejemplar de 7 ejemplares),Decreto Departamental Nº36063,"Barrio Jardín del Parque Rodó, 21 de Setiembre 2391",,,
-56.1650689,-34.9109325,66440814,B.I.D,Cedrus Deodara (1 ejemplar de 7 ejemplares),Decreto Departamental Nº36063,"Barrio Jardín del Parque Rodó, Javier de Viana 1025",,,
-56.1643912,-34.9110181,66440815,B.I.D,Cedrus Deodara (1 ejemplar de 7 ejemplares),Decreto Departamental Nº36063,"Barrio Jardín del Parque Rodó, Javier de Viana 1005",,,
-56.1644577,-34.911371,66440816,B.I.D,Cedrus Deodara (1 ejemplar de 7 ejemplares),Decreto Departamental Nº36063,"Barrio Jardín del Parque Rodó, Gurí 968",,,
-56.1645754,-34.9114572,66440817,B.I.D,Cedrus Deodara (1 ejemplar de 7 ejemplares),Decreto Departamental Nº36063,"Barrio Jardín del Parque Rodó, Gurí 968",,,
-56.1490083,-34.9078694,66440818,M.H.N,Arbol «Ficos Macrophylia» - Árbol de la Cultura,293/986,"Miguel Barreiro 3150, Escuela N° 193",,,
-56.1561416,-34.8778861,66440819,B.I.D,Ficus retusa L.,Decreto Departamental Nº26728,Luis Alberto de Herrera 2802,,,
-56.2124888,-34.8599,66440820,B.I.D,Podocarpus sp. (4 ejemplares),Decreto Departamental Nº26728,"Entorno Parque Prado, Floresta del recuerdo, Av. M. Eugenia Vaz Ferreira",,,
-56.2063055,-34.8608972,66440821,B.I.D,Eucalyptus globulus (2 ejemplares),Decreto Departamental N°26728,"Entorno Parque Prado, Senda peatonal Jaures Larraque Pons",,,
-56.2119638,-34.8591472,66440822,B.I.D,Butia capitata 'Butia' (rodal 9 ejemplares),Decreto Departamental Nº26728,"Entorno Parque Prado, zona norte detrás del CCZ 14",,,
-56.2076027,-34.8585,66440823,B.I.D,Casuarina cunninghamiana (avenida 96 ejemplares),Decreto Departamental Nº26728,"Entorno Parque Prado, Av. María Eugenia Vaz Ferreira",,,
-56.2140055,-34.8590555,66440824,B.I.D,Magnolia grandiflora (alineación 14 ejemplares),Decreto Departamental N° 26728,"Entorno Parque Prado, calle Felipe Caballero esquina Camino Castro",,,
-56.2145295,-34.8604308,66440825,B.I.D,Acanthosyris spinescens 'Quebracho flojo' (2 ejemplares),Decreto Departamental Nº26728,"Entorno Parque Prado, Av. Agraciada 3950 (Plaza de Deportes N° 7)",,,
-56.1625496,-34.9105605,66440826,B.I.D,Cedrus atlántica glauca ' Cedro azul ',Decreto Departamental Nº26728,Parra del Riego 989 y 987,,,
